ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=abdc136f65ceddd4,AI  분야,서울,,"무를  경험하면서  조직과  함께  성장하고  싶으신  마인드를  보유하신  분  -  Python  및  PyTorch,  Tensorflow  등과  같은  딥러닝  프레임워크...  경력자  가능  -  C/C++,  Python,  딥러닝  프레임워크(PyTorch..."
https://kr.indeed.com/viewjob?jk=9b42d30ef3887123,제어  엔지니어  신입  (전문연구요원),서울  강남구,정규직,전공-  Matlab  /  Simulink  프로그래밍  사용  가능자[우대사항]-  컨트롤러  설계  경험  -  C  또는  Python  프로그래밍  역량  -  운전  가능자-  석사학위  소지자  전문연구요원  가능  1  명  근무조건  고용형태:  정규직근무...
https://kr.indeed.com/viewjob?jk=0e26e1dda4b9970b,악성코드  및  엔드포인트  보안  엔지니어  모집,성남  판교역,정규직,"ELK,  SOAR,  EDR,  NAC,  PMS  등)  이슈를  적극적으로  발견하고  개선하고자  하는  능동적인  성격  Python/Linux  shell  script  중급  이상  가능자  지원프로세스  서류전형  >  원격  인터뷰  >  1차..."
https://kr.indeed.com/viewjob?jk=27f7ebc3b51669eb,한국소방안전원  2022년  제1차  계약직,서울  영등포구,정규직  +1,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=f870e8c6ab4babcf,데이터  엔지니어/클라우드  엔지니어/데이터  플랫폼  개발분야  경력사원,서울특별시,,"등)  사용한  대용량  데이터  처리  유경험자  (Customization/Tuning  경험  포함)  -  Python,  Java,  JS  Framework,  Spring  Framework  등  프로그래밍  역량  보유  -  SQL  능숙하고..."
https://kr.indeed.com/viewjob?jk=4abf59df14cb4390,서버  개발자  Python(Django)  Developer  (주니어),서울  마포구,정규직,요건-  Python/Django  실무  1~3년-  RDBMS에  대한  기본  지식-  REST  API에  대한  기본  지식-  AWS  등  클라우드  환경에  대한  관심과  경험  인터넷·IT·통신·모바일·게임>웹프로그래머>  Python|인터넷...
https://kr.indeed.com/viewjob?jk=f77f9abb42c655b7,[네이버계열사][NIT  Service]  네이버  파이낸셜  플랫폼  운영,성남  분당구,정규직,"및  어플리케이션  배포  전략  지식  보유  -  Shell  script,  python  및  web  framework  등  기타  프로그래밍  언어  활용  가능...  보유  -  Shell  script,  python  및  web  framework..."
https://kr.indeed.com/viewjob?jk=af507991b784d519,인프라  부문  경력사원  (8월),서울  서초구,,JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석...
https://kr.indeed.com/viewjob?jk=97e9de2381da633d,Kafka  담당자  영입,성남  분당구,정규직,카오페이  크루가  일하는  방법  자세히  보기-  카카오페이  문화에  대해  더  알아보기-  카카오페이  기술  블로그  보러  가기  인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python
https://kr.indeed.com/viewjob?jk=5133adebeb209d23,AI  모빌리티  서비스의  미래  함께  열어갈  우수한  인재  찾습니다.,성남  분당구,정규직,인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL
https://kr.indeed.com/viewjob?jk=defa6d34b48da188,AI/블록체인  개발자,서울  구로구,정규직,공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷...  통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=9c30497c087dbdbb,Data  Scientist,서울  마포구,정규직,모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python
https://kr.indeed.com/viewjob?jk=7b221453e5de306e,센서  실험실  엔지니어  인턴십  (12개월),서울  강남구,,학사.석사  재학생  및  휴학생  -  Python  등  소프트웨어  언어  사용  경험...  험실  관리  지원-  전공  무관  /  대학교  학사.석사  재학생  및  휴학생-  Python  등  소프트웨어  언어  사용  경험이  있는  분-  12개월  간  업무를  진행...
https://kr.indeed.com/viewjob?jk=b5abb93aa30868f2,클라우드  소프트웨어  개발자,경기도  성남,"연봉  30,000,000원  -  80,000,000원정규직","F에  필요한  제반  기술  -  Client-Server  개발  모델에  익숙하며  RESTFul  개발  경험  -  Python,  JAVA,  NodeJS,  MongoDB  등에  대한  기본적인  이해  및  개발  경험  -  데이터  분석  알고리즘..."
https://kr.indeed.com/viewjob?jk=aa6f254ad2d9c8ed,[Cloud]  클라우드  엔지니어(보안),성남  분당구,정규직,"운영  경험이  있는  분·  하나  이상의  프로그래밍  언어(Javascript,  Python,  Go  등)에  익숙한  분·  클라우드  보안  아키텍쳐(IAM,  SG...  로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python"
https://kr.indeed.com/viewjob?jk=9dd6495ea9317d7c,[kt  cloud]  Cloud운영분야  경력직,서울,정규직,Windows|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>네트워크구축·운영·관리|인터넷·IT·통신·모바일...
https://kr.indeed.com/viewjob?jk=804b9353ac2b5dfe,페이코  빅데이터  엔지니어링,성남  판교역,,"이상  경험하신  분  -  Hadoop  및  Hadoop  에코  시스템에  대한  이해가  있으신  분  -  Java,  Python,  Scala  중  최소  1가지  언어를  능숙하게  사용  가능하신  분  -  데이터  처리  인프라/파이프라인  구축  및..."
https://kr.indeed.com/viewjob?jk=eb926fc0cbbd16d1,"응용프로그램개발,인공지능(AI),머신러닝,Python,TensorFlow",서울  역삼동,"연봉  30,000,000원  -  40,000,000원정규직","알고리즘,  머신러닝,  Python,  Pytorch,  Tensorflow...  학습모델,  데이터  분석  담당업무  -  알고리즘/머신러닝/학습모델  R&D  -  Python,  Pytorch,  Tensorflow,  TensorRT  코딩..."
https://kr.indeed.com/viewjob?jk=06fd3322fee19596,반도체  IP  SoC  Verification  Engineer,성남  분당구,정규직,"Experience  with  Perl,  Python  or  similar...  System  Verilog,  디지털  시뮬레이션  및  디버깅  지식,  Perl,  Python  또는  이와  유사한  스크립트  언어  3)  선임  PCle  엔지니어..."
https://kr.indeed.com/viewjob?jk=05ded1372870e8c0,"[국내  유명  저축은행]CSS  개발,운영(데이터사이언스)",서울,정규직,"RISK  분석  경험자  3)  R,  Python,  엑셀  활용  가능자  제이엔커리...  CSS,  R,  PYTHON,  리스크분석기타:  1)  CSS  운영,  관리  경험자  2)  금융  RISK  분석  경험자  3)  R,  Python,  엑셀  활용  가능..."
https://kr.indeed.com/viewjob?jk=38521115cdd8bd2e,[글로벌AI]인공지능(AI)  Engineer,서울,"연봉  40,000,000원정규직","커뮤니케이션  -  대화형  AI,  챗봇  개발  및  테스트  *자격요건*  -  경력:  0~2년  -  Java,  Python,  javascript,  Ruby  등의  기술을  보유하신  분  -  기업근무  경험이  없어도  챗봇을  오픈소스  등으..."
https://kr.indeed.com/viewjob?jk=b515669e8032265b,[kt  ds]  2022년  각  부문별  경력사원  수시,서울  서초구,정규직,JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머...
